SaleMonth;Time;Censored;Costs;Events
9;5;0;0;0
9;6;0;0;0
9;7;0;0;0
9;8;0;1786;2
9;9;0;0;0
9;10;0;0;0
9;11;0;0;0
9;12;0;0;0
9;13;0;0;0
9;14;0;0;0
9;15;0;0;0
9;16;0;0;0
9;17;0;1272;2
9;18;0;0;0
9;19;0;0;0
9;20;0;634;1
9;21;0;0;0
9;22;0;582;1
9;23;0;560;1
9;24;0;1187;2
9;25;0;0;0
9;26;0;1666;3
9;27;0;0;0
9;28;0;1499;2
9;29;0;794;1
9;30;4981;0;0
10;1;0;1000;1
10;2;0;771;1
10;3;0;0;0
10;4;0;0;0
10;5;0;0;0
10;6;0;0;0
10;7;0;810;1
10;8;0;887;1
10;9;0;0;0
10;10;0;0;0
10;11;0;1568;2
10;12;0;0;0
10;13;0;0;0
10;14;0;729;1
10;15;0;662;1
10;16;0;749;1
10;17;0;591;1
10;18;0;559;1
10;19;0;1164;2
10;20;0;550;1
10;21;0;571;1
10;22;0;0;0
10;23;0;0;0
10;24;0;0;0
10;25;0;0;0
10;26;0;559;1
10;27;0;0;0
10;28;0;0;0
10;29;4564;0;0
11;1;0;772;1
11;2;0;0;0
11;3;0;0;0
11;4;0;0;0
11;5;0;1020;1
11;6;0;0;0
11;7;0;868;1
11;8;0;0;0
11;9;0;0;0
11;10;0;0;0
11;11;0;0;0
11;12;0;0;0
11;13;0;1299;2
11;14;0;0;0
11;15;0;0;0
11;16;0;1197;2
11;17;0;0;0
11;18;0;0;0
11;19;0;1117;2
11;20;0;559;1
11;21;0;0;0
11;22;0;640;1
11;23;0;0;0
11;24;0;0;0
11;25;0;578;1
11;26;0;0;0
11;27;0;0;0
11;28;3631;0;0
12;1;0;0;0
12;2;0;0;0
12;3;0;0;0
12;4;0;0;0
12;5;0;878;1
12;6;0;790;1
12;7;0;0;0
12;8;0;0;0
12;9;0;815;1
12;10;0;0;0
12;11;0;0;0
12;12;0;0;0
12;13;0;0;0
12;14;0;602;1
12;15;0;1517;2
12;16;0;2282;3
12;17;0;0;0
12;18;0;0;0
12;19;0;541;0
12;20;0;0;1
12;21;0;571;1
12;22;0;0;0
12;23;0;573;1
12;24;0;591;1
12;25;0;573;1
12;26;0;0;0
12;27;6136;0;0
13;1;0;0;0
13;2;0;0;0
13;3;0;0;0
13;4;0;0;0
13;5;0;0;0
13;6;0;1735;2
13;7;0;760;1
13;8;0;0;0
13;9;0;763;1
13;10;0;0;0
13;11;0;0;0
13;12;0;0;0
13;13;0;1175;2
13;14;0;582;1
13;15;0;829;1
13;16;0;1163;2
13;17;0;0;0
13;18;0;705;1
13;19;0;0;0
13;20;0;554;1
13;21;0;630;1
13;22;0;0;0
13;23;0;0;0
13;24;0;0;0
13;25;0;0;0
13;26;3404;0;0
14;1;0;0;0
14;2;0;0;0
14;3;0;0;0
14;4;0;0;0
14;5;0;0;0
14;6;0;0;0
14;7;0;0;0
14;8;0;0;0
14;9;0;0;0
14;10;0;915;1
14;11;0;0;0
14;12;0;0;0
14;13;0;0;0
14;14;0;0;0
14;15;0;0;0
14;16;0;582;1
14;17;0;0;0
14;18;0;0;0
14;19;0;0;0
14;20;0;0;0
14;21;0;0;0
14;22;0;0;0
14;23;0;0;0
14;24;0;0;0
14;25;491;0;0
15;1;0;0;0
15;2;0;0;0
15;3;0;0;0
15;4;0;0;0
15;5;0;0;0
15;6;0;0;0
15;7;0;819;1
15;8;0;0;0
15;9;0;0;0
15;10;0;0;0
15;11;0;0;0
15;12;0;0;0
15;13;0;556;1
15;14;0;0;0
15;15;0;0;0
15;16;0;0;0
15;17;0;0;0
15;18;0;0;0
15;19;0;0;0
15;20;0;0;0
15;21;0;0;0
15;22;0;0;0
15;23;0;0;0
15;24;81;0;0
